u,v,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,cnt,n_id
109426242,62917024,长乐路,tertiary,0,408.76,1, , , , , , ,1161,114,79
109426242,483133346,长乐路,tertiary,0,305.982,1, , , , , , ,1162,206,80
109426242,479307526,瑞金一路,secondary,1,176.23100000000005,4, , , , , , ,1163,889,81
130015482,857586245,巨鹿路,residential,0,406.225,1, , , , , , ,1540,40,82
130015482,130022540,巨鹿路,residential,0,347.8280000000001, , , , , , , ,1541,80,83
130015482,152846089,富民路,tertiary,0,313.831, , , , , , , ,1543,297,84
130022540,1576354819,巨鹿路,residential,0,286.494, , , , , , , ,1544,119,85
130022540,130015482,巨鹿路,residential,0,347.828, , , , , , , ,1545,340,86
130022540,130022631,襄阳北路,residential,0,222.827, , , , , , , ,1546,46,87
130022631,600487399,长乐路,residential,0,286.583,1, , , , , , ,1547,192,88
130022631,152846089,长乐路,residential,0,334.29,1, , , , , , ,1548,202,89
130022631,130022540,襄阳北路,residential,0,222.827, , , , , , , ,1549,128,90
131166911,483126248,襄阳南路,tertiary,1,176.893, , , , , , , ,1550,383,91
131166911,601675124,复兴中路,secondary,1,283.881,2, , , , , , ,1551,530,92
131167245,152846422,淮海中路,secondary,0,77.795,2, , , , , , ,1552,622,93
131167245,858404191,襄阳北路,tertiary,1,235.131, , , , , , , ,1553,221,94
131167245,600504932,淮海中路,secondary,0,247.988,2, , , , , , ,1554,679,95
131184023,154072852,乌鲁木齐中路,tertiary,0,84.84399999999998,1, , , , , , ,1555,83,96
131184023,603891560,乌鲁木齐南路,tertiary,1,99.483,1, , , , , , ,1556,302,97
131184023,804464960,淮海中路,secondary,0,429.259,2, , , , , , ,1557,455,98
131184023,63338299,淮海中路,secondary,0,117.72800000000002,2, , , , , , ,1558,293,99
152846089,130022631,长乐路,residential,0,334.29,1, , , , , , ,1622,108,100
152846089,152887810,长乐路,residential,0,54.918,1, , , , , , ,1623,432,101
152846089,130015482,富民路,tertiary,0,313.831, , , , , , , ,1624,192,102
152846113,152846089,富民路,residential,1,65.81800000000001,1, , , , , , ,1625,180,103
152846113,152888329,东湖路,residential,0,38.687,1, , , , , , ,1626,271,104
152846422,131167245,淮海中路,secondary,0,77.795,2, , , , , , ,1627,493,105
152846422,601675124,汾阳路,residential,0,433.004,1, , , , , , ,1628,309,106
152846422,152888329,东湖路,residential,0,339.844,1, , , , , , ,1629,180,107
152846422,603891496,淮海中路,secondary,0,537.982,2, , , , , , ,1630,546,108
152887810,152846089,长乐路,residential,0,54.918,1, , , , , , ,1642,65,109
152887810,603891498,长乐路,residential,0,218.764,1, , , , , , ,1643,249,110
152887810,152846113,东湖路,residential,1,81.882,1, , , , , , ,1644,237,111
152888329,858404191,新乐路,residential,1,293.132, , , , , , , ,1645,63,112
152888329,152846422,东湖路,residential,0,339.844,1, , , , , , ,1646,235,113
152888329,152846113,东湖路,residential,0,38.687,1, , , , , , ,1647,152,114
154072852,63338299,复兴西路,tertiary,0,116.47600000000001,2, , , , , , ,1648,56,115
154072852,131184023,乌鲁木齐中路,tertiary,0,84.84399999999998,1, , , , , , ,1649,291,116
154072852,603891525,复兴西路,tertiary,0,251.657,2, , , , , , ,1650,194,117
154072852,154072919,乌鲁木齐中路,tertiary,0,236.499,1, , , , , , ,1651,165,118
154072919,6369165292,乌鲁木齐中路,tertiary,0,142.37799999999996,1, , , , , , ,1652,186,119
154072919,1576354815,五原路,residential,1,319.112,1, , , , , , ,1653,38,120
154072919,154072852,乌鲁木齐中路,tertiary,0,236.499,1, , , , , , ,1654,270,121
154072987,6369165292,乌鲁木齐中路,tertiary,0,65.949,1, , , , , , ,1655,246,122
154072987,603891408,安福路,residential,1,517.606,1, , , , , , ,1656,82,123
154072987,154073129,乌鲁木齐中路,tertiary,0,146.665,1, , , , , , ,1657,197,124
154073129,6360292379,长乐路,residential,0,355.335,1, , , , , , ,1658,252,125
154073129,600486973,长乐路,residential,0,502.504,1, , , , , , ,1659,170,126
154073129,154080003,乌鲁木齐中路,tertiary,0,194.143,1, , , , , , ,1660,214,127
154073129,154072987,乌鲁木齐中路,tertiary,0,146.665,1, , , , , , ,1661,261,128
154073243,154072919,五原路,residential,1,50.059,1, , , , , , ,1662,53,129
154080003,640484221,华山路,secondary,0,298.9720000000001, , , , , , , ,1664,196,130
154080003,600486973,华山路,secondary,0,608.28, , , , , , , ,1665,208,131
154080003,154073129,乌鲁木齐中路,tertiary,0,194.143,1, , , , , , ,1667,244,132
243843425,856908615,宛平南路,secondary,1,321.048, , , , , , , ,1783,575,133
243843425,243843501,斜土路,secondary,0,592.682,4, , , , , , ,1784,480,134
243843425,622621866,斜土路,secondary,0,136.395,4, , , , , , ,1785,411,135
243843481,107742927,宛平路,secondary,0,326.848, , , , , , , ,1786,96,136
243843481,2412392614,衡山路,secondary,1,17.223,2, , , , , , ,1787,258,137
243843481,601712348,宛平路,secondary,0,14.717, , , , , , , ,1788,194,138
243843485,1414884245,宛平路,residential,0,111.23200000000001, , , , , , , ,1789,151,139
243843485,601712348,宛平路,residential,0,208.216, , , , , , , ,1790,85,140
243843501,622623764,东安路,tertiary,0,475.02199999999993,4, , , , , , ,1792,494,141
243843501,601712422,东安路,tertiary,0,586.1429999999998,4, , , , , , ,1793,167,142
243843501,622621883,斜土路,secondary,0,356.942,4, , , , , , ,1794,391,143
243843501,243843425,斜土路,secondary,0,592.682,4, , , , , , ,1795,492,144
