osmid,y,x
62917024,31.2238183,121.4630516
63338299,31.2123289,121.4433644
76482203,31.2171151,121.4630494
76482724,31.2123516,121.46534500000001
82515933,31.2108389,121.446866
82515934,31.2110419,121.4475133
82516857,31.2113563,121.4454849
82517936,31.2105246,121.4449574
82518112,31.2054457,121.44125450000001
82518464,31.2060418,121.44295210000001
82526036,31.2088342,121.4436979
85014614,31.2054435,121.4410708
87604258,31.2118504,121.4656416
87723676,31.2090079,121.4436558
87781402,31.2113787,121.445435
94574920,31.2106003,121.4432582
94574925,31.2105441,121.4448418
94632188,31.2066282,121.4443483
105253431,31.205829,121.4332681
107674834,31.1844013,121.4318745
107723532,31.1988912,121.4402444
107724512,31.2040002,121.4542491
107742927,31.1991802,121.4401185
107743115,31.2005389,121.4432262
107743333,31.2011749,121.4447393
107743908,31.2043356,121.45412150000001
107744185,31.2049188,121.4562317
107744658,31.2068655,121.4620873
107758681,31.2008536,121.4430606
107758818,31.2015842,121.445824
109424516,31.2072243,121.4629678
109425172,31.2122436,121.46160870000001
109425332,31.213688,121.4612668
109425491,31.2166922,121.4604706
109425717,31.2174587,121.4602898
109425825,31.2207468,121.4593952
109426242,31.2231881,121.4588199
130015482,31.221788,121.446139
130022540,31.2229471,121.4495203
130022631,31.2210916,121.4504035
131166911,31.2144923,121.45276310000001
131167245,31.2176685,121.4521557
131184023,31.2116553,121.4424192
152846089,31.2192642,121.4476151
152846113,31.2187013,121.4478265
152846422,31.217358,121.4514226
152887810,31.219066,121.4470862
152888329,31.218636,121.44822610000001
154072852,31.2123803,121.4421411
154072919,31.2144102,121.441407
154072987,31.2161749,121.4406713
154073129,31.2173306,121.4399323
154073243,31.2143278,121.4408895
154080003,31.2189666,121.4392437
243843425,31.1934806,121.4426422
243843481,31.2017901,121.4385376
243843485,31.2035767,121.4375
243843501,31.1963951,121.4478545
267671967,31.2122339,121.4493202
267698847,31.200779,121.4497138
321982054,31.185121,121.43441600000001
376594431,31.19092,121.4328705
423833592,31.2076269,121.4663417
423833606,31.2081282,121.4665726
477597199,31.22255,121.46370700000001
477598679,31.224329,121.4654727
479307526,31.2247593,121.458625
479307593,31.2252066,121.4629411
483119185,31.2208556,121.4670212
483119728,31.2194812,121.4597408
483119801,31.2200539,121.4618774
483122241,31.222829,121.46549820000001
483124613,31.2212532,121.4652488
483125845,31.218099,121.4571946
483126248,31.2160617,121.4524588
483133315,31.2128998,121.4590269
483133323,31.2158584,121.4579221
483133333,31.2196065,121.4567313
483133346,31.2225991,121.4556778
483133364,31.2249018,121.4558628
486179370,31.2175028,121.4660695
486193667,31.2104049,121.4684578
486193835,31.2125658,121.4673225
486193994,31.2156508,121.4657379
486194095,31.2110702,121.4681669
486196383,31.2049173,121.4705415
552679258,31.2170253,121.4552118
552679267,31.2203882,121.4536832
554224858,31.2084318,121.457444
554236865,31.2072026,121.4354578
554236870,31.2153339,121.456164
554236871,31.2120504,121.4570331
554236879,31.2215623,121.4613651
554238927,31.2143678,121.4449629
565224366,31.2031442,121.4635438
574737611,31.2131084,121.4320219
600486973,31.2162754,121.4347986
600487399,31.2220173,121.4531488
600504910,31.203091,121.4633658
600504912,31.2048997,121.4577486
600504930,31.205209,121.4576931
600504932,31.2186583,121.4544926
601669704,31.2079105,121.4477322
601669706,31.2091681,121.4502092
601669708,31.210965,121.4533351
601669709,31.2113677,121.4548962
601669716,31.2049378,121.4563761
601669719,31.2077018,121.4556672
601669728,31.2149752,121.4544898
601675009,31.2103594,121.4471874
601675019,31.2025786,121.4487581
601675042,31.2001022,121.4574633
601675044,31.2023496,121.4569768
601675049,31.2046256,121.4564491
601675053,31.2045983,121.4562804
601675056,31.2023226,121.45680650000001
601675059,31.1961372,121.4591297
601675069,31.2052919,121.4482179
601675075,31.2061693,121.4510109
601675077,31.206936,121.4535276
601675124,31.2136936,121.4499279
601675165,31.2036421,121.45152580000001
601675168,31.203165,121.4513091
601675296,31.2033367,121.4519074
601675378,31.2036986,121.4517318
601681398,31.2180455,121.4626498
601681402,31.2183567,121.4600358
601681404,31.2190318,121.4622634
601681407,31.2109208,121.4619574
601681509,31.2130225,121.4546564
601681519,31.2126583,121.453088
601681523,31.2114171,121.4495469
601712324,31.2033726,121.4435022
601712348,31.2019038,121.4384584
601712368,31.2040578,121.4449689
601712416,31.2080251,121.4683245
601712418,31.2079896,121.4683389
601712422,31.2012915,121.4458524
601712535,31.2081577,121.4693056
601712540,31.2082022,121.4692905
601712550,31.2081335,121.4668307
601716792,31.1860284,121.4370172
601716797,31.1862096,121.4368576
601716803,31.1857828,121.4365759
603891408,31.214947,121.435431
603891413,31.2134723,121.4363762
603891416,31.2126445,121.4364262
603891420,31.1996152,121.4411167
603891422,31.2002243,121.4414203
603891424,31.2023657,121.4405845
603891425,31.2036545,121.4399753
603891426,31.2038184,121.4398917
603891428,31.2057442,121.438659
603891432,31.2082774,121.4371324
603891496,31.2152108,121.446353
603891497,31.2166868,121.4455919
603891498,31.2183875,121.4449275
603891525,31.2124455,121.439496
603891560,31.2109022,121.4429812
605419515,31.1988506,121.4539824
622621864,31.1910608,121.4411396
622621866,31.1930196,121.4413154
622621883,31.1977965,121.45123
622622029,31.2000691,121.4573436
622623197,31.2047956,121.4662599
622623540,31.2056016,121.4595983
622623542,31.2053183,121.4596647
622623764,31.1927048,121.4503559
622623769,31.1894461,121.4417712
622623771,31.1903926,121.4443206
622623813,31.1937779,121.4531521
622624179,31.1965976,121.4358229
622624180,31.1962509,121.4360393
622624184,31.1917306,121.437532
